"","aoi_name","Year","tas_max_year","tas_min_year","tas_mean_year","bio4_year","bio7_year","pr_max_year","pr_min_year","pr_mean_year","pr_accum_year","bio15_year","tas_max_spring","tas_min_spring","tas_mean_spring","bio4_spring","bio7_spring","pr_max_spring","pr_min_spring","pr_mean_spring","pr_accum_spring","bio15_spring","plotname"
"68","deheson_S3","2003",18.6166666666667,8.51666666666668,14.3666666666667,7.26819555781671,-28.7,133.71,12.68,73.9533333333333,443.72,71.0559166218981,19.6666666666667,9.06666666666668,15.3666666666667,3.61432335760558,-17.1,74.99,17.7,55.2666666666667,178.48,95.0812162951406,"deheson_S3_2003"
"69","deheson_S3","2004",18.1166666666667,7.81666666666668,13.7166666666667,6.53587535580864,-28,85.45,15.2,56.4216666666667,338.53,51.1634840543717,17.4333333333333,7.30000000000001,13.3,2.75136329843952,-14.9,83.08,46.39,67.9066666666667,218.92,42.5102450837582,"deheson_S3_2004"
"70","deheson_S3","2005",18.5666666666667,7.41666666666669,13.4333333333333,8.21234842579554,-31.8,48.95,6.3,27.7716666666667,166.63,62.6280697963581,19.5,8.43333333333336,14.7666666666667,4.27823951332009,-19.6,48.95,22.39,35.2366666666667,112.01,49.3601138500008,"deheson_S3_2005"
"71","deheson_S3","2006",18.7166666666667,8.15,13.9833333333333,7.3833370955596,-28.5,131.29,19.8,55.145,330.87,72.5978417935294,20.2,9.29999999999999,15.4666666666667,4.21939964133921,-19.6,131.29,19.8,67.64,231.48,59.1869897354255,"deheson_S3_2006"
"72","deheson_S3","2007",17.65,7.51666666666667,13.35,5.24966665608398,-23.1,90.01,22.82,61.46,368.76,49.7346769602468,18.5,7.70000000000001,14.0333333333333,3.21299444962693,-17.3,90.01,22.82,60.1733333333333,255.94,50.7981372586434,"deheson_S3_2007"
"73","deheson_S3","2008",17.9833333333333,7.88333333333334,13.6333333333333,5.1940992160977,-23.9,180.02,11.48,68.6116666666667,411.67,90.1020625592538,18.1333333333333,7.66666666666669,13.6333333333333,2.49866631092134,-15.1,180.02,13.08,91.9733333333333,287.4,67.215707621354,"deheson_S3_2008"
"74","deheson_S3","2009",18.8,7.91666666666668,13.9,6.60454389038333,-26.6,63.94,16.46,38.185,229.11,58.6271637666997,20.5333333333333,8.33333333333333,15,3.89999999999998,-19,44.66,17.29,28.2866666666667,101.32,79.1425258696003,"deheson_S3_2009"
"75","deheson_S3","2010",16.9666666666667,7.66666666666669,13.0333333333334,5.99021424213414,-24,212.85,37.87,98.3366666666667,590.02,67.3999124991923,18.2,8.10000000000002,14.1,3.48281495345362,-16.7,92.64,37.87,67.8066666666667,244.18,97.7467711453481,"deheson_S3_2010"
"76","deheson_S3","2011",18.8333333333334,8.61666666666667,14.3833333333333,6.46820428454966,-26.1,119.8,12.1,72.5416666666667,435.25,52.2921489869106,20.0333333333333,9.93333333333334,15.7666666666667,4.47362641861534,-18.7,99.41,51.81,78.4666666666667,247.5,48.3435808125591,"deheson_S3_2011"
"77","deheson_S3","2012",18.7,7.03333333333334,13.05,7.26601679051184,-30.4,78.62,1.89,26.1816666666667,157.09,112.442223828709,19.4666666666667,8.1,14.1666666666667,4.35928128632843,-19,78.62,11.66,44.18,134.43,66.63478550344,"deheson_S3_2012"
"78","deheson_S3","2013",17.1166666666667,7.20000000000001,12.8833333333334,5.79841932483902,-25.1,245.88,10.67,81.0183333333333,486.11,105.079020571238,17.2666666666667,7.5,13.3,3.06104557300278,-15.1,245.88,29.22,109.133333333333,338.07,78.0084952502819,"deheson_S3_2013"
"79","deheson_S3","2014",18.55,8.58333333333334,14.35,5.76324561336752,-24.4,174.07,4.5,80.4783333333333,482.87,81.5680258264173,20.2,9.16666666666669,15.4666666666667,3.47035060668706,-18,66.78,31.85,53.2866666666667,164.36,123.191394441393,"deheson_S3_2014"
"80","deheson_S3","2015",19.5,8.36666666666667,14.3333333333334,7.44866878486798,-29.5,81.63,13.65,46.0733333333333,276.44,56.082427670291,21.2666666666667,9.5,15.8,4.39203825119954,-20.9,69.54,13.65,41.3133333333333,205.57,62.5440790107118,"deheson_S3_2015"
"81","deheson_S7","2000",18.6166666666667,7.7,13.7,7.01626681362673,-30.3,192.03,6.59,63.8016666666667,382.81,105.574422601377,18.4666666666667,8.29999999999999,14.1333333333333,3.97030645332741,-16.8,192.03,50.73,106.51,326.12,63.2412366851828,"deheson_S7_2000"
"82","deheson_S7","2001",18.9,8.78333333333334,14.8333333333333,6.19376030103414,-27.1,265.16,0.68,105.936666666667,635.62,103.068256880752,19.2666666666667,8.96666666666668,15.3,2.65141471671257,-14.5,208.54,0.68,86.96,268.38,125.560114685955,"deheson_S7_2001"
"83","deheson_S7","2002",18.6666666666667,7.95000000000002,14.0333333333334,6.15293967682657,-27.2,107.46,10.8,52.97,317.82,70.2878959647723,18.7,7.76666666666667,14.1333333333334,2.35867194271126,-15.5,107.46,36.51,69.47,219.21,53.5936353714408,"deheson_S7_2002"
"84","deheson_S7","2003",18.6,8.51666666666668,14.3333333333334,7.2226495600068,-28.7,129.78,12.38,71.735,430.41,71.0983003128798,19.6333333333333,9.06666666666668,15.3333333333334,3.55715241918777,-17,73.09,16.69,53.6666666666667,173.38,95.0354640921323,"deheson_S7_2003"
"85","deheson_S7","2004",18.0666666666667,7.78333333333334,13.6833333333333,6.50919861938984,-28,84.14,14.6,55.1816666666667,331.09,51.8633173506324,17.3333333333334,7.26666666666667,13.2666666666667,2.80059517483934,-14.9,80.99,45.38,66.61,214.43,42.9650846760268,"deheson_S7_2004"
"86","deheson_S7","2005",18.5333333333333,7.38333333333334,13.4166666666667,8.18178872048568,-31.8,47.47,6.26,26.9116666666667,161.47,63.7187911619652,19.4666666666667,8.40000000000001,14.7666666666667,4.27823951332009,-19.5,47.47,21.62,34.2233333333333,108.93,50.1055479152748,"deheson_S7_2005"
"87","deheson_S7","2006",18.6833333333333,8.10000000000001,13.9833333333333,7.3833370955596,-28.5,126.69,19.65,53.5633333333333,321.38,71.6991122027024,20.1333333333333,9.23333333333335,15.4666666666667,4.21939964133921,-19.5,126.69,19.65,65.4366666666667,224.84,58.6894724662638,"deheson_S7_2006"
"88","deheson_S7","2007",17.6,7.51666666666667,13.3,5.25623439355589,-23,88.62,22.35,60.0766666666667,360.46,49.6951143097346,18.4666666666667,7.70000000000001,13.9666666666667,3.20832251080425,-17.3,88.62,22.35,59.2166666666667,250.48,50.4168333917448,"deheson_S7_2007"
